title,author,genre,publication_year,isbn,stock,lending_status
Cloned system-worthy strategy,加藤 翼,8,1998,978-1-222-39016-2,2,1
Balanced uniform flexibility,太田 直子,1,1993,978-1-82497-122-6,1,1
Polarized real-time adapter,Jennifer Peters,2,2011,978-1-894114-00-4,1,1
Ameliorated bi-directional definition,佐々木 真綾,8,2009,978-0-87826-581-7,2,1
Devolved stable support,田中 太一,5,1994,978-0-16-139487-3,2,1
Re-contextualized neutral middleware,Tara Jimenez,8,2003,978-1-282-72925-4,0,2
Reverse-engineered bifurcated matrices,長谷川 裕太,6,1998,978-1-257-69796-0,1,1
Stand-alone reciprocal customer loyalty,Jennifer Koch,3,2004,978-0-544-57984-2,0,2
Upgradable responsive website,中村 健一,5,2010,978-1-5217-6926-3,2,1
Multi-layered asynchronous open system,Ariana Walls,8,1981,978-1-57535-642-6,2,1
Team-oriented scalable analyzer,福田 和也,3,2022,978-1-183-00789-5,0,2
Seamless bi-directional moderator,Molly Jordan,7,2019,978-1-84483-092-3,0,2
Expanded clear-thinking infrastructure,Michele Nicholson,1,1984,978-0-665-96023-9,0,2
Streamlined empowering alliance,Laura Anderson,3,1998,978-0-11-165954-0,2,1
Re-engineered bifurcated moratorium,Stephanie Mayo,8,2005,978-1-242-32055-2,0,2
Total full-range archive,佐藤 結衣,4,2010,978-0-552-84498-7,1,1
Synergized analyzing intranet,Barbara Tran,4,1998,978-0-03-798547-1,0,2
Function-based contextually-based conglomeration,山田 美加子,2,2002,978-0-446-23141-1,2,1
Front-line client-driven Graphical User Interface,清水 裕樹,1,1998,978-0-88153-941-7,0,2
Synchronized exuding initiative,小林 修平,8,2016,978-1-03-288161-4,1,1
Devolved demand-driven superstructure,橋本 直子,3,2022,978-1-236-71099-4,1,1
Realigned upward-trending challenge,中村 亮介,7,2009,978-1-9847-0272-2,2,1
Multi-tiered human-resource open architecture,Elaine Carter,7,1986,978-1-325-80775-8,2,1
Customer-focused multi-state collaboration,長谷川 桃子,3,1989,978-0-389-69924-8,0,2
Focused context-sensitive forecast,Kelly Pennington,5,2008,978-1-4405-8943-0,0,2
Innovative static website,山田 涼平,1,2013,978-0-10-756388-2,1,1
Distributed 24hour leverage,田中 翔太,5,1997,978-1-4525-0238-0,0,2
Adaptive 6thgeneration Local Area Network,Philip Bradley,4,2009,978-0-06-387624-8,0,2
Horizontal dedicated matrices,清水 あすか,7,1988,978-0-303-06353-7,1,1
Streamlined next generation firmware,太田 洋介,3,1982,978-1-321-46764-2,1,1
Synchronized heuristic instruction set,中川 英樹,7,1997,978-0-581-98058-8,2,1
Configurable actuating secured line,Justin Glass,8,2006,978-0-08-505637-6,2,1
Cloned actuating contingency,Katie Moran,7,2000,978-1-07-962248-5,0,2
Pre-emptive asymmetric budgetary management,Timothy Martin,6,1995,978-0-535-95228-9,1,1
Adaptive secondary emulation,佐藤 直樹,1,1983,978-1-342-14727-1,0,2
Function-based zero administration collaboration,松本 晃,8,2018,978-0-285-28886-7,0,2
Open-source fault-tolerant function,Dennis Harper,2,2001,978-0-653-98081-2,2,1
Centralized disintermediate project,前田 真綾,6,2011,978-1-58579-179-8,1,1
Enhanced context-sensitive conglomeration,池田 真綾,6,2000,978-0-370-88696-1,2,1
Persistent dynamic open system,山口 零,4,1987,978-1-00-144241-9,0,2
Virtual systematic open architecture,Ashley Crawford,6,2000,978-0-433-54311-4,2,1
Face-to-face eco-centric service-desk,井上 千代,3,2021,978-1-85045-996-5,1,1
Organic actuating focus group,佐藤 涼平,1,1999,978-0-7288-1217-8,0,2
Future-proofed incremental circuit,Dominique Francis,4,1993,978-0-285-21119-3,0,2
Cloned leadingedge complexity,Jeffery Lopez,3,2010,978-1-55110-619-9,0,2
Programmable multi-tasking throughput,佐藤 亮介,8,2005,978-1-971920-91-7,2,1
Programmable interactive moderator,Mario Sweeney,8,2012,978-0-7508-4903-6,1,1
Pre-emptive real-time application,Sarah Lewis,6,2019,978-0-365-08436-5,2,1
Ergonomic optimizing focus group,田中 聡太郎,4,2022,978-0-01-311977-7,1,1
Organic optimal capability,Carly Cameron,5,1984,978-1-82680-303-7,2,1
Vision-oriented next generation methodology,Angelica Garcia,7,2000,978-1-301-04597-6,1,1
Seamless clear-thinking algorithm,佐藤 真綾,5,2021,978-1-897166-95-6,0,2
Open-architected holistic service-desk,伊藤 浩,7,2016,978-1-212-98342-8,0,2
Secured explicit protocol,Stephanie Peterson,6,2011,978-0-264-39325-4,2,1
De-engineered fresh-thinking product,伊藤 涼平,3,1996,978-0-439-23534-1,0,2
Diverse human-resource info-mediaries,池田 翔太,8,2005,978-0-8338-4016-5,2,1
Team-oriented client-server array,藤原 さゆり,3,1989,978-1-286-41682-2,2,1
Polarized intangible synergy,中川 稔,7,1983,978-0-06-948150-7,1,1
Innovative object-oriented challenge,Sara Smith DDS,2,2001,978-1-00-278918-6,0,2
Face-to-face local parallelism,Jennifer Harris,7,1991,978-0-10-086348-4,2,1
Realigned foreground protocol,三浦 稔,4,2012,978-1-71342-173-3,2,1
Devolved mission-critical info-mediaries,Matthew Griffin,4,1983,978-0-432-63944-3,2,1
Innovative mission-critical forecast,岡田 花子,1,2013,978-1-361-14142-7,1,1
Future-proofed analyzing hub,山崎 里佳,6,2005,978-0-639-46735-1,1,1
Down-sized homogeneous implementation,鈴木 裕太,7,2022,978-1-62293-137-8,2,1
Universal context-sensitive framework,小林 里佳,2,1992,978-0-267-07904-9,1,1
Extended bottom-line algorithm,Michelle Austin,7,1992,978-1-4018-1712-1,0,2
Open-architected directional artificial intelligence,高橋 あすか,1,1995,978-0-600-10308-0,0,2
Digitized zero-defect synergy,小林 舞,6,2014,978-1-63352-449-1,1,1
Diverse asymmetric hierarchy,Jessica Oconnor,1,1986,978-0-488-69766-4,0,2
Re-engineered didactic toolset,山下 晃,1,1989,978-0-309-25441-0,0,2
Streamlined next generation superstructure,中島 英樹,6,1983,978-0-490-59876-8,0,2
Horizontal hybrid adapter,Jennifer Johnston,4,1988,978-0-278-14878-9,2,1
Operative tertiary synergy,Beth Mann,8,2003,978-1-03-450868-7,0,2
Upgradable dynamic success,Heidi Santiago,1,2007,978-1-4214-9098-4,1,1
Visionary needs-based monitoring,藤原 稔,6,2010,978-1-4934-2950-9,0,2
Seamless cohesive software,Deborah Beltran,8,1997,978-1-66429-672-5,0,2
Future-proofed attitude-oriented contingency,佐藤 洋介,3,2011,978-0-87262-315-6,2,1
Fully-configurable web-enabled middleware,Manuel Stevens,5,2023,978-1-84706-201-7,0,2
Object-based dedicated info-mediaries,中村 裕美子,5,1983,978-1-5358-1037-1,2,1
Programmable encompassing knowledgebase,加藤 康弘,6,2005,978-1-84727-482-3,2,1
Right-sized explicit challenge,Sheila Green,8,2011,978-0-259-96128-4,0,2
Integrated maximized groupware,William Wilcox,8,2005,978-1-5032-8723-5,1,1
Customizable homogeneous superstructure,斎藤 知実,7,2019,978-0-7038-8932-4,1,1
Horizontal methodical open architecture,佐藤 洋介,1,1986,978-0-7647-8339-5,0,2
De-engineered composite pricing structure,加藤 陽子,6,2005,978-0-15-510108-1,1,1
Seamless methodical moderator,吉田 京助,7,1986,978-1-74575-095-5,1,1
Profound scalable firmware,高橋 幹,2,1993,978-0-390-27720-6,0,2
User-friendly 24/7 middleware,Tina Rice,2,2000,978-0-915177-62-2,1,1
Extended disintermediate migration,Amanda Estrada,6,1993,978-1-55997-065-5,1,1
Triple-buffered well-modulated policy,Lisa Johnston,6,2000,978-0-04-008531-1,1,1
Open-source 4thgeneration projection,Laura Burnett,1,2019,978-1-4541-5463-1,0,2
Diverse encompassing model,斎藤 春香,8,1980,978-1-906643-96-6,0,2
Enhanced 4thgeneration interface,Charles Noble,6,1995,978-0-9903122-4-6,0,2
Optional dedicated encoding,鈴木 里佳,4,2013,978-1-4196-6209-6,1,1
Monitored homogeneous product,渡辺 直樹,2,2011,978-0-8414-5790-4,0,2
Innovative composite synergy,佐藤 裕樹,1,1993,978-1-210-73845-7,2,1
Extended real-time benchmark,藤田 千代,8,1983,978-1-4593-0816-9,1,1
Ameliorated national utilization,Paul Ward,7,2004,978-1-5362-9275-6,0,2
Upgradable optimal knowledgebase,中島 英樹,2,2022,978-1-105-17066-9,1,1
Operative secondary approach,高橋 香織,8,2019,978-0-305-69211-7,2,1
Universal clear-thinking groupware,山本 幹,4,2015,978-0-553-07332-4,2,1
Intuitive optimal help-desk,Dawn Sherman,8,1998,978-0-506-03593-5,1,1
Integrated next generation hierarchy,松本 春香,8,2015,978-0-17-083843-6,0,2
Synergistic homogeneous neural-net,井上 くみ子,7,2010,978-1-85330-176-6,2,1
Reverse-engineered human-resource hub,Autumn Lee,5,2013,978-1-117-62753-3,0,2
Extended user-facing algorithm,Mark Alvarado,5,1988,978-0-214-88970-7,2,1
Extended upward-trending protocol,佐藤 京助,5,2022,978-0-03-280493-7,2,1
Optional content-based Graphical User Interface,池田 千代,4,1994,978-1-5349-3006-3,1,1
Team-oriented multi-state concept,山田 直人,6,1981,978-0-629-14787-4,2,1
Automated impactful open architecture,Randall Bowman,1,2012,978-1-5342-9578-0,0,2
Extended neutral parallelism,Danielle Quinn,4,1988,978-0-00-240963-6,0,2
Persistent coherent monitoring,Tyler Scott,1,1987,978-1-225-80857-2,1,1
Networked 24hour encoding,松田 晃,8,2006,978-1-63655-913-1,1,1
Profound logistical portal,Melinda Avila,3,2015,978-0-17-924821-2,2,1
Pre-emptive radical knowledge user,佐藤 七夏,5,2007,978-1-85065-401-8,1,1
Mandatory heuristic leverage,山本 直子,3,2020,978-0-08-498660-5,2,1
Cloned systematic protocol,Michele Smith,2,2010,978-1-301-17349-5,1,1
Organic tertiary array,吉田 充,2,1993,978-1-59788-793-9,1,1
Open-source intermediate matrices,田中 陽子,6,1986,978-0-932035-66-0,0,2
Assimilated upward-trending solution,橋本 和也,7,2011,978-1-111-34204-3,1,1
Multi-channeled cohesive structure,Anthony Edwards,1,1992,978-1-182-66888-2,0,2
Progressive foreground Graphic Interface,James Chapman,1,1981,978-0-8325-1558-3,1,1
Streamlined multi-tasking open architecture,Jacob Jackson,4,2017,978-1-939505-31-6,2,1
Synergistic intermediate installation,木村 明美,8,2004,978-0-379-08716-1,2,1
Horizontal scalable complexity,Joshua Collins,6,2020,978-1-210-63622-7,2,1
Networked encompassing matrix,Jordan Collins,3,2010,978-1-84947-281-4,2,1
Multi-lateral contextually-based standardization,鈴木 くみ子,5,2007,978-0-14-864380-2,1,1
Reverse-engineered web-enabled access,伊藤 太郎,1,2006,978-1-03-915918-1,1,1
Operative regional emulation,Julie Boyd,7,2022,978-1-362-10656-2,1,1
Pre-emptive context-sensitive methodology,山本 智也,4,2010,978-0-424-67574-9,2,1
Universal multi-state task-force,青木 陽一,5,1993,978-0-7708-2581-2,2,1
Virtual asynchronous methodology,吉田 七夏,8,2012,978-0-18-020169-5,2,1
Public-key leadingedge capacity,Danielle Allen,4,1989,978-1-328-07735-6,0,2
Synergized dynamic hierarchy,田中 春香,7,2017,978-0-04-266068-4,1,1
Diverse global core,James Williams,7,2009,978-1-86113-945-0,2,1
Multi-channeled incremental capability,小林 治,8,2018,978-0-09-560874-9,1,1
Re-engineered value-added migration,坂本 結衣,3,2003,978-0-03-758632-6,0,2
User-centric upward-trending project,太田 直人,6,1981,978-1-58870-587-7,0,2
Stand-alone bi-directional superstructure,Bryan Thomas,6,1989,978-1-81680-224-8,0,2
Team-oriented intangible customer loyalty,伊藤 治,3,1988,978-1-83676-130-3,1,1
De-engineered 6thgeneration core,松本 美加子,3,1997,978-1-06-210931-3,1,1
Networked even-keeled alliance,後藤 舞,6,1984,978-1-890390-33-4,1,1
Optional bottom-line emulation,岡田 裕美子,1,1993,978-0-9513322-0-7,2,1
Realigned global knowledge user,鈴木 直子,2,2008,978-0-7674-7947-9,0,2
Pre-emptive homogeneous ability,小林 淳,2,1986,978-0-635-38355-6,0,2
Expanded maximized function,高橋 太一,4,2018,978-1-938954-76-4,1,1
Multi-layered tangible Internet solution,伊藤 千代,2,1995,978-0-223-73795-2,2,1
Organized global hierarchy,Dr. Tammy Cox,4,2010,978-0-273-89081-2,0,2
Robust full-range matrices,Joel Ramos,8,2022,978-0-479-58057-9,2,1
Implemented attitude-oriented parallelism,Jennifer Guzman,3,1991,978-1-995884-72-1,2,1
Expanded client-server initiative,小林 京助,1,1997,978-1-186-73881-9,0,2
Networked upward-trending architecture,Kenneth Le,2,1998,978-1-283-62946-1,1,1
Business-focused actuating product,Amanda Anderson,4,1991,978-1-69308-878-0,1,1
Balanced methodical info-mediaries,Carlos Carpenter,6,1991,978-0-219-09933-0,1,1
Horizontal holistic strategy,Penny Simmons,6,2005,978-0-12-980430-7,2,1
Networked neutral artificial intelligence,後藤 舞,7,2015,978-0-248-31067-3,2,1
User-centric cohesive workforce,山下 陽子,2,2001,978-1-276-30858-8,0,2
Team-oriented systematic monitoring,Dustin Newman,5,2010,978-1-77431-850-8,1,1
Operative foreground orchestration,Lisa Davis,5,1984,978-1-4004-1640-0,1,1
Switchable clear-thinking parallelism,伊藤 舞,7,1997,978-1-77067-932-0,0,2
Multi-tiered bifurcated matrix,佐藤 さゆり,8,1990,978-1-4237-0879-7,2,1
Ergonomic maximized moratorium,Anthony Spears,4,1980,978-1-911578-08-6,0,2
Upgradable asynchronous initiative,Matthew Johnson,4,2002,978-1-57150-131-8,2,1
Open-architected discrete customer loyalty,Maureen Mccarty,3,2002,978-1-65110-800-0,1,1
Profit-focused multimedia strategy,James Jackson Jr.,5,1996,978-0-7317-8401-1,0,2
De-engineered composite definition,Sherri Campbell,8,1995,978-0-614-27465-3,0,2
Switchable tangible open system,Sarah Garza,3,1983,978-0-07-029584-1,2,1
Open-source responsive firmware,Tiffany Matthews,6,2018,978-1-163-24574-3,1,1
Cloned hybrid data-warehouse,加藤 陽子,7,1991,978-0-7160-8607-9,0,2
Object-based 6thgeneration interface,Richard Wood,4,1983,978-1-915417-75-6,2,1
Operative reciprocal access,Marie Garza,3,1985,978-0-906582-00-8,1,1
Centralized solution-oriented utilization,山田 陽一,3,2005,978-0-7629-9100-6,2,1
Persevering multi-state challenge,Karen Fisher,3,2011,978-1-70666-623-3,1,1
Synergized coherent process improvement,青木 英樹,7,2009,978-0-664-05674-2,1,1
Programmable secondary structure,Rhonda Fleming,3,2003,978-0-661-23175-3,1,1
Phased stable contingency,Sean Richardson,3,1985,978-1-79883-955-3,2,1
Expanded intangible artificial intelligence,Lisa Garner,1,2020,978-0-497-68573-7,2,1
Expanded disintermediate attitude,Kevin Martin,3,2018,978-0-11-211540-3,0,2
Reverse-engineered 5thgeneration pricing structure,岡本 和也,4,2005,978-1-202-60373-2,2,1
Up-sized 3rdgeneration synergy,Adam Phillips,4,1981,978-1-969574-73-3,2,1
Self-enabling optimal matrices,石井 陽子,8,2021,978-1-5237-7432-6,2,1
Customizable demand-driven encoding,山本 花子,8,2009,978-0-526-26069-0,1,1
Cross-platform well-modulated collaboration,Ann Rose,2,1986,978-0-14-797770-0,0,2
Digitized attitude-oriented portal,鈴木 康弘,4,2006,978-0-08-214365-9,1,1
Switchable homogeneous paradigm,田中 陽子,4,2013,978-1-56577-572-5,1,1
Re-contextualized maximized archive,渡辺 直人,2,2018,978-0-7089-3726-6,0,2
Adaptive hybrid synergy,小林 智也,2,2022,978-0-442-44282-8,1,1
Compatible methodical intranet,Whitney Anderson,2,1986,978-1-59754-006-3,2,1
Enhanced homogeneous encryption,佐藤 あすか,5,1999,978-1-03-570414-9,2,1
Re-engineered intangible focus group,中村 太郎,4,1989,978-1-333-11446-6,1,1
Universal explicit archive,鈴木 直子,6,2004,978-0-546-15064-3,1,1
User-friendly fault-tolerant budgetary management,渡辺 幹,3,2005,978-0-646-36704-0,1,1
Streamlined well-modulated capability,松田 治,1,2003,978-0-414-87960-7,2,1
Down-sized client-driven monitoring,中村 治,1,1989,978-0-8219-4602-2,1,1
Upgradable high-level portal,Victoria Le,6,2013,978-1-126-46722-9,2,1
Business-focused 3rdgeneration functionalities,Kimberly Perez,7,1995,978-1-59893-052-8,0,2
Self-enabling regional emulation,Kelly Ferrell,7,2002,978-1-253-58284-0,1,1
User-centric optimizing challenge,Kathleen Thornton,8,2010,978-1-77844-019-9,0,2
Synergistic homogeneous data-warehouse,松本 花子,6,1981,978-1-67362-546-2,1,1
Secured dedicated database,村上 裕樹,3,1985,978-0-00-832028-7,0,2
Open-architected encompassing encryption,伊藤 裕美子,1,2019,978-0-664-94346-2,2,1
Multi-layered attitude-oriented matrices,加藤 翔太,6,2022,978-0-917206-96-2,0,2
Versatile foreground database,Tommy Watson,5,1985,978-0-675-07609-8,0,2
Organic heuristic secured line,Sean Wright,4,1992,978-0-9611499-7-0,0,2
Public-key fresh-thinking solution,山本 裕美子,7,2004,978-0-230-18818-1,0,2
Mandatory high-level model,Diana Little,2,2021,978-1-118-88956-5,0,2
Total transitional secured line,Zachary Turner,3,2016,978-1-86239-726-2,2,1
User-centric stable attitude,山崎 治,7,2023,978-0-00-539626-1,2,1
Synergized hybrid moderator,Sonia Jones,3,1986,978-0-654-01323-6,0,2
Customizable 5thgeneration throughput,遠藤 稔,7,1983,978-1-913392-61-1,0,2
Cross-group asynchronous installation,松本 健一,2,2011,978-1-75151-020-8,2,1
Ergonomic solution-oriented help-desk,Benjamin Carr,6,2001,978-1-4340-9114-7,0,2
Phased intangible hub,中村 幹,7,1983,978-1-4125-5320-9,1,1
Front-line well-modulated infrastructure,佐々木 智也,5,1989,978-0-86292-092-0,1,1
Robust national database,山田 くみ子,1,1989,978-0-7407-3613-1,2,1
Operative 3rdgeneration system engine,青木 七夏,8,1985,978-0-9973199-0-3,1,1
De-engineered homogeneous artificial intelligence,田中 陽子,4,2006,978-0-300-34841-5,2,1
Operative methodical matrix,Christopher Sanders,8,1984,978-0-458-58538-0,0,2
Virtual tangible database,Austin Valentine,6,1982,978-0-484-70529-5,2,1
Vision-oriented fresh-thinking monitoring,小川 直子,6,2013,978-1-4691-0864-3,1,1
Front-line foreground intranet,Kenneth Stewart,6,2007,978-1-946112-26-2,1,1
Multi-layered foreground core,Janet Frazier,4,2011,978-1-4589-5586-9,0,2
Extended exuding hierarchy,佐々木 裕太,8,2007,978-0-395-95925-1,1,1
Synchronized zero-defect parallelism,Michael Hardy,6,1989,978-0-583-83381-3,1,1
Visionary static monitoring,長谷川 直樹,5,2023,978-0-89489-346-9,0,2
Automated object-oriented instruction set,Daniel Mcfarland,7,2005,978-0-9521606-9-4,1,1
Organic context-sensitive moratorium,Charles Rodgers,6,2001,978-0-87379-804-4,2,1
Vision-oriented user-facing ability,Jeremy Rivera,5,2008,978-1-163-43176-4,2,1
Progressive modular knowledge user,Thomas Peterson,8,1980,978-1-77603-634-9,1,1
Programmable next generation neural-net,鈴木 桃子,1,1988,978-1-02-779439-4,0,2
Operative mission-critical focus group,Andrew Johnson,3,2009,978-1-02-768797-9,0,2
Horizontal bifurcated function,Cody Hanson,8,1991,978-1-915811-96-7,1,1
Managed background flexibility,Jim Perkins Jr.,3,2015,978-0-12-700464-8,2,1
De-engineered analyzing support,高橋 裕美子,7,2001,978-1-00-897230-8,2,1
Open-source logistical parallelism,山崎 真綾,3,2001,978-1-892603-99-9,0,2
Programmable exuding benchmark,清水 花子,3,2016,978-0-00-500788-4,2,1
Versatile 3rdgeneration hub,David Castro,4,1998,978-0-912158-72-3,1,1
Diverse eco-centric product,後藤 英樹,8,1982,978-1-4879-7947-8,2,1
Persistent non-volatile Graphic Interface,Scott White,2,2021,978-0-415-99195-7,2,1
Implemented clear-thinking encoding,鈴木 晃,4,2015,978-1-178-46327-9,1,1
Exclusive executive parallelism,Jason Brown,6,1980,978-1-126-45598-1,1,1
Up-sized real-time firmware,Jessica Travis,2,1996,978-0-9629437-5-1,0,2
Multi-tiered logistical time-frame,加藤 零,2,1989,978-1-86562-984-1,1,1
Synergistic high-level frame,後藤 幹,5,2003,978-1-75513-365-6,1,1
Enterprise-wide cohesive productivity,Crystal Scott,4,2017,978-1-59274-618-7,0,2
Synergized intermediate solution,Larry Owen,1,1984,978-1-328-37814-9,1,1
Multi-tiered upward-trending open system,佐藤 翼,8,2010,978-0-9696758-9-1,2,1
Stand-alone needs-based structure,Ryan Martin,4,1985,978-1-938117-02-2,1,1
Advanced intangible framework,石井 京助,8,2005,978-1-74042-606-0,1,1
Re-engineered multi-tasking attitude,David Johnson,6,2018,978-1-70886-654-9,1,1
Grass-roots attitude-oriented infrastructure,Johnathan Foley,2,2014,978-0-440-78413-5,1,1
